------------------------------------------------------------------------------------------------------------------
px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.38028	-10.7284	-2.69984	-1.50713	-1.06513	4.44745	-10.786	4.45	-10.8	0	2.72555	2.86352
4.38141	-10.5938	-2.67227	-1.56749	-1.06856	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.432614
4.39415	-10.4395	-2.75275	-1.63495	-1.08072	4.46329	-10.5756	4.45	-10.5	0	2.729	0.496397
4.41154	-10.2981	-2.73444	-1.69543	-1.0826	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.129524
4.45261	-10.136	-2.80807	-1.77326	-1.10832	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.905545
4.49309	-9.99714	-2.78988	-1.83718	-1.11259	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.273008
4.55259	-9.82952	-2.99073	-1.90662	-1.1241	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.890465
4.61527	-9.68839	-2.96682	-1.97128	-1.12779	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.225069
4.66535	-9.51856	-3.17915	-2.0058	-1.08634	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.55175
4.74724	-9.37716	-3.14433	-2.06927	-1.09053	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.366844
4.82328	-9.24471	-3.05976	-2.1233	-1.08065	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.57236
4.91904	-9.11055	-3.05561	-2.18562	-1.08408	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.085841
4.98759	-9.00142	-2.91674	-2.22867	-1.06734	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.584073
5.07941	-8.89545	-2.88888	-2.28348	-1.06857	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.213377
5.15603	-8.77305	-2.86379	-2.31226	-1.02171	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	3.89766
5.26486	-8.65682	-2.87223	-2.36725	-1.02051	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.023529
5.36691	-8.54932	-2.91533	-2.40884	-1.00613	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.375438
5.47421	-8.44994	-2.91343	-2.45635	-1.00328	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.0602161
5.53474	-8.3661	-2.53802	-2.47784	-0.951988	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	5.78635
5.63588	-8.27372	-2.50965	-2.52324	-0.945237	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.52053
5.72956	-8.1507	-2.54615	-2.52889	-0.879828	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	7.62392
5.84149	-8.05877	-2.57691	-2.56987	-0.872783	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.536329
5.97201	-7.92195	-2.80098	-2.57178	-0.809178	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	6.78903
6.09443	-7.82694	-2.80891	-2.60704	-0.800601	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.498158
6.19023	-7.70951	-2.65926	-2.59682	-0.726334	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	7.10011
6.30624	-7.62245	-2.65657	-2.62762	-0.718143	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.459192
6.41517	-7.51044	-2.60892	-2.62074	-0.655602	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	5.35122
6.52761	-7.42817	-2.59128	-2.64729	-0.647442	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.517455
6.66194	-7.32405	-2.8341	-2.65573	-0.61916	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	2.43214
6.77884	-7.24575	-2.84291	-2.67741	-0.610966	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.538607
6.84399	-7.11735	-2.42836	-2.62559	-0.498564	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	16.8222
6.94503	-7.03683	-2.41312	-2.6415	-0.488973	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.773548
7.08778	-6.94653	-2.63522	-2.65556	-0.472832	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.885185
7.20305	-6.86415	-2.63732	-2.67	-0.462934	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.770103
7.3085	-6.73436	-2.5422	-2.62382	-0.368924	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	11.3296
7.416	-6.65197	-2.53513	-2.63335	-0.359937	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.634541
7.58219	-6.58546	-2.95573	-2.67654	-0.395206	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.02783
7.70491	-6.51201	-2.94542	-2.68974	-0.3898	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.244641
7.80489	-6.44516	-2.62753	-2.69406	-0.368159	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.80319
7.92407	-6.37714	-2.60192	-2.70868	-0.363956	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.289881
8.04484	-6.3037	-2.54273	-2.71113	-0.341204	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.71926
8.16253	-6.23575	-2.54721	-2.72191	-0.334343	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.441276
8.27213	-6.11308	-2.56033	-2.66977	-0.246245	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	10.3449
8.37442	-6.04385	-2.561	-2.67317	-0.238681	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.555067
8.55318	-5.95051	-3.0246	-2.68516	-0.239958	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.67839
8.69617	-5.87472	-3.0115	-2.69525	-0.237583	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0804085
8.78556	-5.77237	-2.58402	-2.65136	-0.162214	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.74812
8.90027	-5.69805	-2.57574	-2.65386	-0.156924	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.271141
8.99459	-5.60804	-2.44065	-2.62379	-0.106748	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.72637
9.08965	-5.53839	-2.44089	-2.62164	-0.100344	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.439407
9.25547	-5.43989	-2.93604	-2.6302	-0.108805	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	4.04876
9.3871	-5.3562	-2.92383	-2.63145	-0.104943	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.154771
9.46139	-5.26458	-2.44354	-2.59115	-0.0435395	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.40334
9.56993	-5.18882	-2.44895	-2.58903	-0.0394806	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.175272
9.66011	-5.11015	-2.23186	-2.56762	-0.00688874	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	2.32879
9.75791	-5.03546	-2.25539	-2.56199	-0.00112734	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.519638
9.87773	-4.90049	-2.4376	-2.50979	0.066658	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	7.30355
9.97854	-4.81451	-2.44618	-2.50048	0.0717961	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.273258
10.0913	-4.64755	-2.65851	-2.42556	0.162315	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	10.7711
10.1885	-4.54204	-2.66652	-2.40802	0.170087	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.522323
10.3032	-4.35928	-2.95581	-2.33691	0.248273	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	7.54882
10.4046	-4.23397	-2.96389	-2.31614	0.254696	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.33518
10.5385	-4.10362	-3.13904	-2.31252	0.240993	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	0.547237
10.6354	-3.96986	-3.11439	-2.29041	0.24827	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.503118
10.7292	-3.85334	-2.96187	-2.27171	0.255249	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.301574
10.8223	-3.72786	-2.9332	-2.2539	0.257945	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.21459
10.8549	-3.62293	-2.4553	-2.20024	0.311497	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	5.93956
